retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time,matched_rows
exact_matching,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,200,195,65ffb357af0db4a176deb4a71a58def4,wordnet_county_108546183,0.4753187316116378,3059,2,1511,3,0.020373,718.2066034651847
exact_matching,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,200,196,d4159316bbd8699001f889536c016912,wordnet_county_108546183,0.4720496894409938,3059,2,1495,3,0.021128,705.7142857142857
exact_matching,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,200,197,24d697b0a315b2156ad6170454794195,wordnet_county_108546183,0.4710689767898006,3059,2,1504,3,0.016575,708.4877410918601
exact_matching,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,200,198,7dce81d479688900b7776406b06ee2a1,wordnet_county_108546183,0.47041516835567176,3059,2,1489,3,0.022049,700.4481856815953
exact_matching,wordnet_full,us_county_population-yadl-depleted,col_to_embed,mean,200,199,59dc43974d3d9b86fb41c6d87ea38ca4,wordnet_county_108546183,0.47041516835567176,3059,2,1490,3,0.020932,700.918600849951
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,0,6636d0b4073a1c960d0f9aeb5bf958d4,isLocatedIn_0,0.3955541026479242,3059,2,15233,3,0.004525,6025.475645635829
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,1,76e7b724cc8848d11537173ca1879a67,wordnet_county_108546183,0.16247139588100687,3059,2,521,3,0.002331,84.64759725400458
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,2,7951f85efad8029deebf604e432b582e,wasBornIn_0,0.006538084341288003,3059,2,1265,3,0.002577,8.270676691729323
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,3,574417223ee3c780e07520ff553d5a42,isLocatedIn_0,0.04642039882314482,3059,2,21261,11,0.004374,986.944099378882
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,4,1ecba8bf6f126eaca6972ac093056c89,diedIn_0,0.03072899640405361,3059,2,128009,3,0.00595,3933.588100686499
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,5,2aa3a756cc5f92d65bc249f2068ec7f4,isLocatedIn_0,0.02745995423340961,3059,2,4451,3,0.002676,122.22425629290618
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,6,649909194fbdc0cc1b0c8fb8ced2c91f,wasBornIn_0,0.007518796992481203,3059,2,6889,3,0.003222,51.796992481203006
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,7,7f4256eaf69a0f78eb0f30d8a43aafc4,diedIn_0,0.018633540372670808,3059,2,40295,3,0.005611,750.8385093167702
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,8,09570649104f7dcf3afad7a398b28a4c,wasBornIn_0,0.006864988558352402,3059,2,6472,3,0.003417,44.430205949656745
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,9,deea5242fb559b20eea12c0d1d46f2d0,wasBornIn_0,0.005230467473030402,3059,2,3112,3,0.003157,16.27721477607061
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,10,9941fd0f79db4bdd44e862b5285c70a4,wasBornIn_0,0.059823471722785224,3059,2,33388,3,0.005309,1997.386073880353
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,11,a1a7d83ab6da3e305db33d3a57884800,diedIn_0,0.0013076168682576005,3059,2,321,3,0.002196,0.41974501471068976
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,12,e975eca5dd59d730cf95f901cc50127a,wasBornIn_0,0.41320693036940176,3059,2,128549,3,0.010187,53117.33769205623
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,13,24e7b1845d84d31b88fc47993490a8ea,isLocatedIn_1,0.28604118993135014,3059,2,10228,3,0.003735,2925.629290617849
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,14,8d8151df82a5c02ac854167b392fdfd7,isLocatedIn_0,0.02680614579928081,3059,2,14350,3,0.003525,384.66819221967967
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,15,9a2ae39b29aadb1f56c643de1a502ddc,isLocatedIn_0,0.03922850604772801,3059,2,52169,3,0.004848,2046.5119320039228
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,16,c68faa8687f80db18e7d4a8000ccc610,wasBornIn_0,0.09284079764628964,3059,2,74006,3,0.008203,6870.77607061131
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,17,0ca740b9f8614ad0b259d84a256afdec,livesIn_0,0.002288329519450801,3059,2,1924,3,0.002855,4.4027459954233406
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,18,1c0c548058cdd8b63466fcb360e5619c,isLocatedIn_1,0.07714939522719844,3059,2,4918,3,0.003657,379.4207257273619
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,19,6e3f81d7fe13429b3effe587483bb3c5,wasBornIn_0,0.031055900621118012,3059,2,19433,3,0.0042,603.5093167701863
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,20,195643c39d1fc78880ae849c8df6968d,isLocatedIn_0,0.07453416149068323,3059,2,6352,3,0.003711,473.44099378881987
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,21,df3eb464a74b9cb77fb098c3d76e4a1e,wasBornIn_0,0.012749264465511605,3059,2,3912,3,0.003467,49.8751225890814
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,22,4c126ece95e1057d7666efa819d355d1,diedIn_0,0.32919254658385094,3059,2,1842138,3,0.057213,606418.099378882
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,23,52be2b0321fb6c5262c25e0604d23e4a,wasBornIn_0,0.004249754821837201,3059,2,530,3,0.003742,2.2523700555737167
minhash,wordnet_full,us_county_population-yadl-depleted,col_to_embed,first,30,24,df4ddd9d27427d8c89437b8e5f309b09,hasCapital_0,0.0013076168682576005,3059,2,68807,3,0.009664,89.97319385420072
