retrieval_method,data_lake_version,table_name,query_column,aggregation,top_k,rank,cnd_table,cnd_column,containment,src_nrows,src_ncols,cnd_nrows,cnd_ncols,join_time
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,48,e13951402ac661e5e11418a0609dab41,graduatedFrom_0,0.02134756504336224,3109,2,2246,3,7e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,49,ac4051d6046384e9a6c49ca2883d64b1,isLocatedIn_0,0.0023348899266177454,3109,2,53996,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,50,ba01a330eeaee0f8663c201e2d7b3057,graduatedFrom_0,0.019346230820547032,3109,2,1104,3,8e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,51,46d6c40ecf3bd16a50a3003a541aa1ba,graduatedFrom_0,0.07171447631754503,3109,2,61134,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,52,b5621c76ceaeb68bd8f2871722193ef5,wasBornIn_0,0.0010006671114076052,3109,2,10177,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,53,57c331cd73d8e5cb46ffcc43e3b2e007,isLocatedIn_1,0.001667778519012675,3109,2,21092,3,0.000011
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,54,fd7a2fa9eb198a0d881cb41341c4cc38,isLocatedIn_0,0.0020013342228152103,3109,2,456173,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,55,a9e4a8b690f12d616e24267ccd998e14,wasBornIn_0,0.0020013342228152103,3109,2,11776,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,56,95689943ad332ca5c92914ad2e22e620,graduatedFrom_0,0.025350233488992662,3109,2,2978,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,57,6247bc193fbeece4d5ef4ac056da8b56,graduatedFrom_0,0.00867244829886591,3109,2,496,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,58,4874760f2d1cb72434cd51771eeaa475,isLocatedIn_0,0.00066711140760507,3109,2,2350,3,9e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,59,85a31c819c45778aa8b21c7926f94d6c,graduatedFrom_1,0.01067378252168112,3109,2,4417,3,0.00001
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,60,7abbd4a5609745bfca98d17bf4e50b94,graduatedFrom_0,0.01000667111407605,3109,2,359,3,0.000015
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,61,e47308b0aa38e9383bb4fccabd6f4ccf,graduatedFrom_0,0.00600400266844563,3109,2,187,3,7e-6
minhash,wordnet_full,company_employees-yadl-depleted,col_to_embed,first,200,62,b31c65b00157f2657749cc0213668bb6,graduatedFrom_1,0.00600400266844563,3109,2,168,3,0.000011
